Title,Release Date,Genres,Runtime,Format,Country,Language,Foreign Language,Seen,Is TV Series,Runtime in Minutes,Duration Type
The Lord of the Rings: The Fellowship of the Ring,2001,Action | Adventure | Drama | Fantasy,2:58,Blu-ray,New Zealand,English,No,No,No,178,Long
The Lord of the Rings: The Return of the King,2003,Action | Adventure | Drama | Fantasy,3:21,Blu-ray,New Zealand,English,No,No,No,201,Long
The Lord of the Rings: The Two Towers,2002,Action | Adventure | Drama | Fantasy,2:59,Blu-ray,New Zealand,English,No,No,No,179,Long
Lost in Translation,2003,Comedy | Drama,1:42,DVD,USA,English,No,No,No,102,Medium
Love Actually,2003,Comedy | Drama | Romance,2:15,Blu-ray,UK,English,No,No,No,135,Medium
Mad City,1997,Crime | Drama | Thriller,1:55,DVD,USA,English,No,No,No,115,Medium
Mad Max: Fury Road,2015,Action | Adventure | Science Fiction | Thriller,2:00,Blu-ray,Australia,English,No,No,No,120,Medium
Magnum Force,1973,Action | Crime | Mystery | Thriller,2:04,DVD,USA,English,No,No,No,124,Medium
The Man with the Iron Fists,2012,Action,1:35,Blu-ray,USA,English,No,No,No,95,Medium
Martial Club,1981,Action | Drama,1:50,DVD,Hong Kong,Cantonese,Yes,No,No,110,Medium
Martian Successor Nadesico,1996,Animation | Comedy | Science Fiction,0:00,DVD,Japan,Japanese,Yes,No,Yes,720,Long
Martian Successor Nadesico - The Motion Picture: Prince of Darkness,1998,Action | Animation | Science Fiction,0:00,DVD,Japan,Japanese,Yes,No,No,720,Long
Mary Poppins,1964,Comedy | Family | Fantasy | Musical,2:19,Blu-ray,USA,English,No,No,No,139,Medium
The Master,1992,Action | Comedy | Crime,1:32,DVD,Hong Kong,Cantonese,Yes,No,No,92,Medium
The Matrix,1999,Action | Science Fiction,2:16,Blu-ray,USA,English,No,No,No,136,Medium
The Matrix Resurrections,2021,Action | Science Fiction,2:28,4K UHD,USA,English,No,No,No,148,Medium
Mission: Impossible - Ghost Protocol,2011,Action | Adventure | Thriller,2:12,Blu-ray,USA,English,No,No,No,132,Medium
Mulan,1998,Adventure | Animation | Comedy | Family | Fantasy | Musical | War,1:27,DVD,USA,English,No,No,No,87,Short
My Father is a Hero,1995,Action | Crime | Drama | Thriller,1:44,DVD,Hong Kong,English,No,No,No,104,Medium
